,1,2,3,4,5,6,7,8,9,10,flux_difference,directed_coupling,regulation_type
PHOA690um,13.487738,14.111333,14.734928,15.358523,15.981139,16.596787,17.212435,1000.0,1000.0,1000.0,986.512262,False,U
PSIum,12.138964,12.700199,13.261435,13.82267,14.383025,14.937108,15.491192,892.201882,900.0,900.0,887.861036,False,U
PSICSum,12.138964,12.700199,13.261435,13.82267,14.383025,14.937108,15.491192,900.0,900.0,900.0,887.861036,False,U
CBFCum,6.069482,6.3501,6.630717,6.911335,7.191512,7.468554,7.745596,450.0,450.0,450.0,443.930518,False,U
ASPOb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.591939,437.153807,436.854033,436.854033,False,U
ASPO5,0.000747,0.000674,0.000601,0.000528,0.000455,0.00038,0.000306,433.592171,437.153964,436.854116,436.853369,False,U
SUCDum,0.000747,0.000674,0.000601,0.000528,0.000455,0.00038,0.000306,433.592171,437.153964,436.854116,436.853369,False,U
GLUSfx,0.352158,0.316017,0.279877,0.243737,0.207681,0.172224,0.136767,433.69325,437.21966,436.885924,436.533766,False,U
GLNS,0.439339,0.394687,0.350034,0.305382,0.260792,0.216644,0.172497,433.720288,437.238008,436.89558,436.456241,False,U
PSIICSum,7.946511,8.368332,8.790152,9.211973,9.633025,10.04861,10.464194,190.791385,218.315697,214.392144,206.44563300000002,False,U
ATPSum,2.960028,3.095166,3.230304,3.365441,3.500372,3.63383,3.767287,153.733133,155.874249,155.597023,152.636995,False,U
ETAPCPSII,6.944987,7.323367,7.701747,8.080127,8.457802,8.830454,9.203106,95.569879,124.542839,120.412783,113.467796,False,U
ETCPC,6.944987,7.323367,7.701747,8.080127,8.457802,8.830454,9.203106,95.569879,124.542839,120.412783,113.467796,False,U
PHOA670um,6.944987,7.323367,7.701747,8.080127,8.457802,8.830454,9.203106,95.569879,124.542839,120.412783,113.467796,False,U
O2tu,1.986628,2.092083,2.197538,2.302993,2.408256,2.512152,2.616049,47.697846,54.578924,53.598036,51.611408,False,U
PSIIum,1.986628,2.092083,2.197538,2.302993,2.408256,2.512152,2.616049,47.697846,54.578924,53.598036,51.611408,False,U
NGAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.780692,49.49315,48.415179,48.415179,False,U
NDPK1,0.594287,0.622496,0.650706,0.678916,0.707064,0.73478,0.762495,13.743846,15.723389,15.438686,14.844399000000001,False,U
SPODM,0.060695,0.063501,0.066307,0.069113,0.071915,0.074686,0.077456,8.360068,4.5,4.5,4.439305,False,U
CAT,0.031414,0.032713,0.034012,0.035311,0.036607,0.037886,0.039165,4.180365,2.250225,2.250118,2.2187040000000002,False,U
FNOR,3.517965,3.741182,3.964398,4.187614,4.410371,4.629862,4.849352,5.174423,5.384845,5.592202,2.0742370000000006,True,U
MCOATA,0.130648,0.218339,0.30603,0.393721,0.481402,0.569013,0.656623,0.744234,0.831844,0.919455,0.788807,True,U
ACCOAC,0.130648,0.218339,0.30603,0.393721,0.481402,0.569013,0.656623,0.744234,0.831844,0.919455,0.788807,True,U
PKETF,0.021423,0.107203,0.192982,0.278762,0.364497,0.449916,0.535335,0.620753,0.706172,0.79159,0.770167,True,U
ACS,0.287651,0.372569,0.457487,0.542405,0.627276,0.711814,0.796353,0.880891,0.96543,1.049968,0.762317,True,U
NDH-1(4)um,2.085309,2.156142,2.226975,2.297808,2.368588,2.438986,2.509385,2.579783,2.683178,2.789719,0.7044099999999998,True,U
ADK1,0.363653,0.44115,0.518647,0.596145,0.673576,0.750538,0.8275,0.904463,0.981425,1.058387,0.694734,True,U
H2Otex,0.769828,0.832801,0.895774,0.958747,1.021439,1.082127,1.142815,1.212498,1.307538,1.404151,0.634323,True,U
H2Otpp,0.774366,0.836896,0.899426,0.961956,1.024204,1.084439,1.144674,1.213905,1.308493,1.404654,0.6302880000000001,True,U
FBP,1.25586,1.308987,1.362114,1.415241,1.468328,1.521129,1.57393,1.626731,1.679531,1.732332,0.476472,True,U
GAPDi_nadp,3.12089,3.167668,3.214446,3.261223,3.307945,3.354263,3.400581,3.446899,3.493217,3.539535,0.4186449999999997,True,U
PGK,3.12089,3.167668,3.214446,3.261223,3.307945,3.354263,3.400581,3.446899,3.493217,3.539535,0.4186449999999997,True,U
RPI,0.584371,0.615187,0.646003,0.67682,0.707627,0.73837,0.769113,0.799856,0.830599,0.861341,0.27697000000000005,True,U
CO2tpp,1.690794,1.701456,1.712118,1.722781,1.732937,1.739493,1.746049,1.752604,1.792157,1.834855,0.144061,True,U
CO2tex,1.690794,1.701456,1.712118,1.722781,1.732937,1.739493,1.746049,1.752604,1.792157,1.834855,0.144061,True,U
DES_15,0.011439,0.022878,0.034317,0.045756,0.057195,0.068634,0.080073,0.091512,0.102951,0.11439,0.102951,True,U
FA183ACPHi,0.011439,0.022878,0.034317,0.045756,0.057195,0.068634,0.080073,0.091512,0.102951,0.11439,0.102951,True,U
DES_12,0.011439,0.022878,0.034317,0.045756,0.057195,0.068634,0.080073,0.091512,0.102951,0.11439,0.102951,True,U
DM_ALA,0.011439,0.022878,0.034317,0.045756,0.057194999999999996,0.068634,0.08007299999999999,0.091512,0.10295099999999999,0.11438999999999999,0.10295099999999999,True,U
DESAT18a,0.011852,0.023251,0.03465,0.046048,0.057447,0.068845,0.080242,0.09164,0.103038,0.114436,0.102584,True,U
3HAD180,0.013404,0.024651,0.035898,0.047146,0.058392,0.069635,0.080878,0.092121,0.103365,0.114608,0.101204,True,U
3OAR180,0.013404,0.024651,0.035898,0.047146,0.058392,0.069635,0.080878,0.092121,0.103365,0.114608,0.101204,True,U
3OAS180,0.013404,0.024651,0.035898,0.047146,0.058392,0.069635,0.080878,0.092121,0.103365,0.114608,0.101204,True,U
EAR180y,0.013404,0.024651,0.035898,0.047146,0.058392,0.069635,0.080878,0.092121,0.103365,0.114608,0.101204,True,U
3HAD160,0.015179,0.026253,0.037327,0.048401,0.059473,0.07054,0.081606,0.092672,0.103738,0.114804,0.099625,True,U
EAR160y,0.015179,0.026253,0.037327,0.048401,0.059473,0.07054,0.081606,0.092672,0.103738,0.114804,0.099625,True,U
3OAR100,0.016749,0.02767,0.03859,0.049511,0.06043,0.07134,0.082249,0.093159,0.104069,0.114978,0.098229,True,U
EAR140y,0.016749,0.02767,0.03859,0.049511,0.06043,0.07134,0.082249,0.093159,0.104069,0.114978,0.098229,True,U
3OAS60,0.016749,0.02767,0.03859,0.049511,0.06043,0.07134,0.082249,0.093159,0.104069,0.114978,0.098229,True,U
3OAS140,0.016749,0.02767,0.03859,0.049511,0.06043,0.07134,0.082249,0.093159,0.104069,0.114978,0.098229,True,U
3HAD100,0.016749,0.02767,0.03859,0.049511,0.06043,0.07134,0.082249,0.093159,0.104069,0.114978,0.098229,True,U
3OAS100,0.016749,0.02767,0.03859,0.049511,0.06043,0.07134,0.082249,0.093159,0.104069,0.114978,0.098229,True,U
3HAD60,0.016749,0.02767,0.03859,0.049511,0.06043,0.07134,0.082249,0.093159,0.104069,0.114978,0.098229,True,U
3OAR60,0.016749,0.02767,0.03859,0.049511,0.06043,0.07134,0.082249,0.093159,0.104069,0.114978,0.098229,True,U
3OAR80,0.016749,0.02767,0.03859,0.049511,0.06043,0.07134,0.082249,0.093159,0.104069,0.114978,0.098229,True,U
3OAR120,0.016749,0.02767,0.03859,0.049511,0.06043,0.07134,0.082249,0.093159,0.104069,0.114978,0.098229,True,U
EAR80y,0.016749,0.02767,0.03859,0.049511,0.06043,0.07134,0.082249,0.093159,0.104069,0.114978,0.098229,True,U
3HAD40_1,0.016749,0.02767,0.03859,0.049511,0.06043,0.07134,0.082249,0.093159,0.104069,0.114978,0.098229,True,U
3OAS160,0.016749,0.02767,0.03859,0.049511,0.06043,0.07134,0.082249,0.093159,0.104069,0.114978,0.098229,True,U
KAS15,0.016749,0.02767,0.03859,0.049511,0.06043,0.07134,0.082249,0.093159,0.104069,0.114978,0.098229,True,U
3HAD120,0.016749,0.02767,0.03859,0.049511,0.06043,0.07134,0.082249,0.093159,0.104069,0.114978,0.098229,True,U
EAR120y,0.016749,0.02767,0.03859,0.049511,0.06043,0.07134,0.082249,0.093159,0.104069,0.114978,0.098229,True,U
EAR40y,0.016749,0.02767,0.03859,0.049511,0.06043,0.07134,0.082249,0.093159,0.104069,0.114978,0.098229,True,U
3OAR140,0.016749,0.02767,0.03859,0.049511,0.06043,0.07134,0.082249,0.093159,0.104069,0.114978,0.098229,True,U
EAR60y,0.016749,0.02767,0.03859,0.049511,0.06043,0.07134,0.082249,0.093159,0.104069,0.114978,0.098229,True,U
3OAS80,0.016749,0.02767,0.03859,0.049511,0.06043,0.07134,0.082249,0.093159,0.104069,0.114978,0.098229,True,U
3OAR160,0.016749,0.02767,0.03859,0.049511,0.06043,0.07134,0.082249,0.093159,0.104069,0.114978,0.098229,True,U
3OAS120,0.016749,0.02767,0.03859,0.049511,0.06043,0.07134,0.082249,0.093159,0.104069,0.114978,0.098229,True,U
3HAD140,0.016749,0.02767,0.03859,0.049511,0.06043,0.07134,0.082249,0.093159,0.104069,0.114978,0.098229,True,U
EAR100y,0.016749,0.02767,0.03859,0.049511,0.06043,0.07134,0.082249,0.093159,0.104069,0.114978,0.098229,True,U
3HAD80,0.016749,0.02767,0.03859,0.049511,0.06043,0.07134,0.082249,0.093159,0.104069,0.114978,0.098229,True,U
MNHNAtpp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105581,0.096513,0.082886,0.082886,False,U
NGAM_D1um,0.000795,0.000837,0.000879,0.000921,0.000963,0.001005,0.001046,0.019079,0.021832,0.021439,0.020644,False,U
GLYCL,0.0,0.0,0.0,0.0,0.000178,0.001621,0.003065,0.004509,0.005952,0.007396,0.007396,False,U
CYTBD4cm,0.040497,0.035665,0.030832,0.025999,0.021332,0.017841,0.014351,0.06365,0.055626,0.046815,0.006318000000000004,False,U
IPDDI,-0.00366,-0.003303,-0.002946,-0.002588,-0.00223,-0.001865,-0.0015,-0.001135,-0.00077,-0.000405,0.003255,True,D
GLYCOR_nadp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001494,0.001494,False,U
GLYCK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001494,0.001494,False,U
NOR,0.000401,0.000362,0.000323,0.000284,0.000244,0.000204,0.000164,0.000124,8.4e-05,4.4e-05,-0.000357,True,D
PDS2,0.000401,0.000362,0.000323,0.000284,0.000244,0.000204,0.000164,0.000124,8.4e-05,4.4e-05,-0.000357,True,D
ZDS,0.000401,0.000362,0.000323,0.000284,0.000244,0.000204,0.000164,0.000124,8.4e-05,4.4e-05,-0.000357,True,D
PDS1,0.000401,0.000362,0.000323,0.000284,0.000244,0.000204,0.000164,0.000124,8.4e-05,4.4e-05,-0.000357,True,D
SPTr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001494,-0.001494,False,D
TRPS3,0.003292,0.002971,0.002649,0.002328,0.002006,0.001677,0.001349,0.001021,0.000693,0.000365,-0.002927,True,D
ANS,0.003292,0.002971,0.002649,0.002328,0.002006,0.001677,0.001349,0.001021,0.000693,0.000365,-0.002927,True,D
TRPS2,0.003292,0.002971,0.002649,0.002328,0.002006,0.001677,0.001349,0.001021,0.000693,0.000365,-0.002927,True,D
DMPPS_syn,0.00488,0.004404,0.003927,0.003451,0.002973,0.002487,0.002,0.001514,0.001027,0.000541,-0.004339,True,D
GART,0.006846,0.006177,0.005509,0.00484,0.00417,0.003488,0.002806,0.002123,0.001441,0.000758,-0.006088,True,D
TRDR,0.011075,0.009994,0.008912,0.007831,0.006747,0.005643,0.004539,0.003435,0.002331,0.001227,-0.009847999999999999,True,D
FTHFD,0.016257,0.012912,0.009567,0.006223,0.003225,0.002697,0.00217,0.001642,0.001114,0.000586,-0.015671,True,D
NDHPQRcm,0.080995,0.071329,0.061664,0.051999,0.042664,0.035683,0.028701,0.02172,0.014738,0.010745,-0.07024999999999999,True,D
3OAR40_1,-0.016749,-0.02767,-0.03859,-0.049511,-0.06043,-0.07134,-0.082249,-0.093159,-0.104069,-0.114978,-0.098229,True,U
PEPC,0.140044,0.126371,0.112698,0.099024,0.085316,0.071355,0.057394,0.043434,0.029473,0.015512,-0.124532,True,D
TKT1,-0.610281,-0.638567,-0.666854,-0.695141,-0.723412,-0.751572,-0.779732,-0.807891,-0.836051,-0.864211,-0.25393,True,U
TALA,-0.610281,-0.638567,-0.666854,-0.695141,-0.723412,-0.751572,-0.779732,-0.807891,-0.836051,-0.864211,-0.25393,True,U
ATPM,0.258025,0.724854,1.191683,1.658512,2.125317,2.591954,3.05859,0.0,0.0,0.0,-0.258025,False,D
TPI,-1.257701,-1.310648,-1.363595,-1.416543,-1.469449,-1.522067,-1.574684,-1.627301,-1.679919,-1.732536,-0.4748350000000001,True,U
FBA,-1.25586,-1.308987,-1.362114,-1.415241,-1.468328,-1.521129,-1.57393,-1.626731,-1.679531,-1.732332,-0.476472,True,U
PPKr,-0.391556,-0.466329,-0.541102,-0.615875,-0.690575,-0.764756,-0.838936,-0.913117,-0.987297,-1.061477,-0.669921,True,U
O2tex,-1.849701,-1.926491,-2.003282,-2.080072,-2.156335,-2.228846,-2.301356,-2.378364,-2.451552,-2.523954,-0.6742529999999998,True,U
O2tpp,-1.849701,-1.926491,-2.003282,-2.080072,-2.156335,-2.228846,-2.301356,-2.378364,-2.451552,-2.523954,-0.6742529999999998,True,U
ACKr,-0.021423,-0.107203,-0.192982,-0.278762,-0.364497,-0.449916,-0.535335,-0.620753,-0.706172,-0.79159,-0.770167,True,U
H2Otu_syn,-3.973256,-4.184166,-4.395076,-4.605986,-4.816513,-5.024305,-5.232097,-95.395693,-109.157849,-107.196072,-103.222816,False,U
ASPTA,-0.093895,-0.084728,-0.07556,-0.066393,-0.057202,-0.047841,-0.038481,-433.62106,-437.173567,-436.864434,-436.77053900000004,False,U
